Transaction Date,Description,Amount,Category
12/15/2024,STARBUCKS STORE #12345,-4.95,Food & Dining
12/14/2024,AMAZON.COM AMZN.COM/BILL,-89.99,Shopping
12/14/2024,SHELL OIL 12345,-45.20,Gas & Transportation
12/13/2024,NETFLIX.COM,-15.99,Entertainment
12/13/2024,WHOLE FOODS MARKET #123,-127.43,Groceries
12/12/2024,UBER TRIP 123ABC,-18.75,Gas & Transportation
12/12/2024,MCDONALDS #12345,-12.45,Food & Dining
12/11/2024,TARGET STORE T-1234,-67.89,Shopping
12/11/2024,CVS PHARMACY #1234,-23.67,Healthcare
12/10/2024,SPOTIFY PREMIUM,-9.99,Entertainment
12/10/2024,CHIPOTLE MEXICAN GRILL,-14.25,Food & Dining
12/09/2024,EXXONMOBIL 12345,-52.30,Gas & Transportation
12/09/2024,VERIZON WIRELESS,-85.00,Bills & Utilities
12/08/2024,KROGER FUEL #1234,-38.90,Gas & Transportation
12/08/2024,PIZZA HUT 012345,-25.99,Food & Dining
12/07/2024,BEST BUY STORE #123,-299.99,Shopping
12/07/2024,WALGREENS #1234,-15.49,Healthcare
12/06/2024,DUNKIN DONUTS #12345,-6.25,Food & Dining
12/06/2024,TRADER JOES #123,-78.45,Groceries
12/05/2024,LYFT RIDE,-22.15,Gas & Transportation
12/05/2024,APPLE.COM/BILL,-2.99,Entertainment
12/04/2024,COSTCO WHOLESALE #123,-156.78,Groceries
12/04/2024,CHEVRON 12345,-41.85,Gas & Transportation
12/03/2024,PANERA BREAD #1234,-13.75,Food & Dining
12/03/2024,PAYMENT RECEIVED,2500.00,Financial
12/02/2024,AMAZON PRIME VIDEO,-8.99,Entertainment
12/02/2024,SAFEWAY STORE #1234,-98.76,Groceries
12/01/2024,MOBIL GAS STATION,-44.20,Gas & Transportation
11/30/2024,DOORDASH DELIVERY,-19.85,Food & Dining
11/30/2024,HOME DEPOT #1234,-125.67,Shopping 